"time","Mass.s","Mass.v","der(Mass.s)","der(Mass.v)","Mass.a","Mass.flange_a.s","Mass.flange_b.f","Mass.flange_b.s","Spring.f","Spring.s_rel","Fixed.flange.f","Mass.flange_a.f","Spring.flange_a.f","Spring.flange_b.f","Spring.flange_b.s"
0.028,0.05619166558441842,2.013606940502839,2.013606940502839,0.4719041672077908,0.4719041672077908,-0.9438083344155815,0,1.056191665584418,-0.9438083344155815,-0.9438083344155815,-0.9438083344155815,0.9438083344155815,0.9438083344155815,-0.9438083344155815,-0.9438083344155815
0.03,0.06021973281834879,2.014548713820824,2.014548713820824,0.4698901335908256,0.4698901335908256,-0.9397802671816512,0,1.060219732818349,-0.9397802671816512,-0.9397802671816512,-0.9397802671816512,0.9397802671816512,0.9397802671816512,-0.9397802671816512,-0.9397802671816512
0.032,0.06424970400071792,2.015486463920619,2.015486463920619,0.467875147999641,0.467875147999641,-0.9357502959992821,0,1.064249704000718,-0.9357502959992821,-0.9357502959992821,-0.9357502959992821,0.9357502959992821,0.9357502959992821,-0.9357502959992821,-0.9357502959992821
0.034,0.06828157913152583,2.016420190802226,2.016420190802226,0.4658592104342371,0.4658592104342371,-0.9317184208684741,0,1.068281579131526,-0.9317184208684741,-0.9317184208684741,-0.9317184208684741,0.9317184208684741,0.9317184208684741,-0.9317184208684741,-0.9317184208684741
0.036,0.07231526069865435,2.017349871777238,2.017349871777238,0.4638423696506728,0.4638423696506728,-0.9276847393013457,0,1.072315260698654,-0.9276847393013457,-0.9276847393013457,-0.9276847393013457,0.9276847393013457,0.9276847393013457,-0.9276847393013457,-0.9276847393013457
0.038,0.07635076357381218,2.018275510305897,2.018275510305897,0.4618246182130939,0.4618246182130939,-0.9236492364261878,0,1.076350763573812,-0.9236492364261878,-0.9236492364261878,-0.9236492364261878,0.9236492364261878,0.9236492364261878,-0.9236492364261878,-0.9236492364261878
0.04,0.08038812611922394,2.019197115314042,2.019197115314042,0.459805936940388,0.459805936940388,-0.919611873880776,0,1.080388126119224,-0.919611873880776,-0.919611873880776,-0.919611873880776,0.919611873880776,0.919611873880776,-0.919611873880776,-0.919611873880776
0.042,0.08442734833488959,2.020114686801676,2.020114686801676,0.4577863258325552,0.4577863258325552,-0.9155726516651104,0,1.08442734833489,-0.9155726516651104,-0.9155726516651104,-0.9155726516651104,0.9155726516651104,0.9155726516651104,-0.9155726516651104,-0.9155726516651104
0.044,0.08846843022080916,2.021028224768797,2.021028224768797,0.4557657848895954,0.4557657848895954,-0.9115315697791908,0,1.088468430220809,-0.9115315697791908,-0.9115315697791908,-0.9115315697791908,0.9115315697791908,0.9115315697791908,-0.9115315697791908,-0.9115315697791908
0.046,0.09251137177698268,2.021937729215406,2.021937729215406,0.4537443141115087,0.4537443141115087,-0.9074886282230173,0,1.092511371776983,-0.9074886282230173,-0.9074886282230173,-0.9074886282230173,0.9074886282230173,0.9074886282230173,-0.9074886282230173,-0.9074886282230173
0.048,0.09655603353236228,2.022843168486312,2.022843168486312,0.4517219832338188,0.4517219832338188,-0.9034439664676377,0,1.096556033532362,-0.9034439664676377,-0.9034439664676377,-0.9034439664676377,0.9034439664676377,0.9034439664676377,-0.9034439664676377,-0.9034439664676377
0.05,0.1006024973059783,2.023744561151658,2.023744561151658,0.4496987513470108,0.4496987513470108,-0.8993975026940216,0,1.100602497305978,-0.8993975026940216,-0.8993975026940216,-0.8993975026940216,0.8993975026940216,0.8993975026940216,-0.8993975026940216,-0.8993975026940216
0.052,0.1046507748650439,2.024641909882199,2.024641909882199,0.447674612567478,0.447674612567478,-0.8953492251349561,0,1.104650774865044,-0.8953492251349561,-0.8953492251349561,-0.8953492251349561,0.8953492251349561,0.8953492251349561,-0.8953492251349561,-0.8953492251349561
0.054,0.1087008662095591,2.025535214677936,2.025535214677936,0.4456495668952205,0.4456495668952205,-0.8912991337904409,0,1.108700866209559,-0.8912991337904409,-0.8912991337904409,-0.8912991337904409,0.8912991337904409,0.8912991337904409,-0.8912991337904409,-0.8912991337904409
0.056,0.1127527713395239,2.02642447553887,2.02642447553887,0.4436236143302381,0.4436236143302381,-0.8872472286604761,0,1.112752771339524,-0.8872472286604761,-0.8872472286604761,-0.8872472286604761,0.8872472286604761,0.8872472286604761,-0.8872472286604761,-0.8872472286604761
0.058,0.1168064785868912,2.027309689919998,2.027309689919998,0.4415967607065544,0.4415967607065544,-0.8831935214131088,0,1.116806478586891,-0.8831935214131088,-0.8831935214131088,-0.8831935214131088,0.8831935214131088,0.8831935214131088,-0.8831935214131088,-0.8831935214131088
